Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
IMFA.txt,290.7,High & tight flag (HTF),05/27/2021,07/27/2021,Up,07/29/2021,798.5,865,"136,410",997,08/02/2021,992.75 or 24%,673.56 or -9%,Target (992.75) reached on 08/02/2021,62,Tall,
MBAPL.txt,626.5,High & tight flag (HTF),06/01/2021,07/30/2021,Up,08/30/2021,79.47,97.9,"30,868",113.7,09/01/2021,98.69 or 24%,59.53 or -12%,Target (98.69) reached on 08/31/2021,60,Tall,
MINDTECK.txt,134.4,High & tight flag (HTF),04/01/2021,06/04/2021,Up,07/13/2021,79.35,82.8,"51,762",133.8,08/04/2021,98.28 or 24%,64.15 or -10%,Target (98.28) reached on 07/20/2021,65,Tall,
TNPETRO.txt,77.6,High & tight flag (HTF),02/22/2021,04/23/2021,Up,05/03/2021,78.4,79.7,"1,333,186",150.75,08/09/2021,97.95 or 25%,61.9 or -14%,Target (97.95) reached on 05/18/2021,61,Tall,
MANINFRA.txt,102.45,Flag,03/29/2023,05/09/2023,Up,05/10/2023,84.5,87.95,"647,843",,,97.6 or 22%,76.84 or -6%,Target (97.6) reached on 06/05/2023,42,Tall,
GLOBAL.txt,217.95,High & tight flag (HTF),12/01/2021,01/04/2022,Up,01/24/2022,77.95,88.15,"34,236",96.4,01/28/2022,97.4 or 25%,54.2 or -16%,Target (97.4) reached on 05/10/2022,35,Tall,
AYMSYNTEX.txt,74.35,High & tight flag (HTF),04/20/2021,06/08/2021,Up,07/12/2021,78.7,81,"59,186",97.05,08/09/2021,97.35 or 24%,67.64 or -10%,Target (97.35) reached on 08/20/2021,50,Tall,
WEBELSOLAR.txt,90.95,High & tight flag (HTF),05/14/2021,07/06/2021,Up,10/12/2021,78.4,86,"428,105",90,10/13/2021,97.1 or 24%,59.04 or -11%,Target (97.1) reached on 12/16/2021,54,Tall,
KPIGREEN.txt,536.65,High & tight flag (HTF),05/10/2022,06/20/2022,Up,08/16/2022,780,791,"304,765",962,09/09/2022,968.4 or 24%,656.29 or -9%,Target (968.4) reached on 12/01/2022,42,Tall,
VENUSPIPES.txt,1098.05,High & tight flag (HTF),08/23/2022,10/27/2022,Up,04/05/2023,774.85,785,"89,031",,,968.12 or 25%,722.33 or -3%,Target (968.12) reached on 05/24/2023,66,Tall,
CHOLAFIN.txt,1061.6,Flag,03/27/2023,04/27/2023,Up,04/28/2023,857,874.75,"1,565,368",,,962.45 or 18%,795.01 or -5%,Target (962.45) reached on 05/04/2023,32,Tall,
LYKALABS.txt,104.5,High & tight flag (HTF),05/10/2021,05/28/2021,Up,07/30/2021,76.95,82.7,"240,217",102.9,08/10/2021,96.88 or 26%,66.76 or -9%,Target (96.88) reached on 08/09/2021,19,Tall,
ATGL.txt,670.9,High & tight flag (HTF),01/18/2021,03/08/2021,Up,03/22/2021,749.45,833,"2,036,645",1249.95,04/06/2021,953.68 or 27%,583.66 or -13%,Target (953.68) reached on 03/24/2021,50,Tall,
MFL.txt,1033.65,High & tight flag (HTF),08/18/2021,09/03/2021,Up,09/15/2021,762.55,844,"200,164",858.8,09/16/2021,950.28 or 25%,,Target (950.28) reached on 10/05/2021,17,Tall,
PALREDTEC.txt,138.9,High & tight flag (HTF),01/05/2021,01/28/2021,Up,02/03/2021,76.8,77.5,"16,280",84.75,02/05/2021,95.85 or 25%,61.13 or -9%,Target (95.85) reached on 02/24/2021,24,Tall,
HITECH.txt,77.85,High & tight flag (HTF),05/31/2021,07/29/2021,Up,11/23/2022,760,770,"83,950",894.5,12/21/2022,944 or 24%,579.3 or -9%,Target (944) reached on 01/17/2023,60,Tall,
KERNEX.txt,343.95,High & tight flag (HTF),02/04/2021,04/06/2021,Up,06/16/2021,71,73.6,"42,654",85.5,06/23/2021,94.95 or 34%,57.28 or -10%,Target (94.95) reached on 11/11/2021,62,Tall,
UNIVASTU.txt,92.5,High & tight flag (HTF),08/24/2021,10/18/2021,Up,01/13/2022,76.7,90,"96,467",98,01/14/2022,94.92 or 24%,58.16 or -13%,Target (94.92) reached on 01/14/2022,56,Tall,
GPTINFRA.txt,58,High & tight flag (HTF),04/19/2021,06/16/2021,Up,06/22/2021,74.7,84.9,"188,413",107.85,07/16/2021,94.65 or 27%,51.04 or -18%,Target (94.65) reached on 07/01/2021,59,Tall,
SPECIALITY.txt,234.9,High & tight flag (HTF),05/11/2021,07/09/2021,Up,07/27/2021,75.8,77,"451,574",79.75,07/27/2021,94.22 or 24%,62.98 or -12%,Target (94.22) reached on 10/14/2021,60,Tall,
TTML.txt,78.4,High & tight flag (HTF),09/07/2021,11/10/2021,Up,11/17/2021,73.75,80.05,"5,036,123",189.1,12/17/2021,93.98 or 27%,66.7 or -7%,Target (93.98) reached on 11/25/2021,65,Tall,
MARALOVER.txt,55.9,High & tight flag (HTF),06/02/2021,07/23/2021,Up,07/27/2021,74.95,77.05,"87,998",97.8,08/09/2021,93.68 or 25%,59.89 or -11%,Target (93.68) reached on 08/09/2021,52,Tall,
ALPA.txt,62.5,High & tight flag (HTF),03/19/2021,04/23/2021,Up,12/31/2021,73.4,83.8,"195,140",108.8,01/20/2022,92.6 or 26%,52.85 or -17%,Target (92.6) reached on 01/03/2022,36,Tall,
MCDHOLDING.txt,126.75,High & tight flag (HTF),09/02/2021,09/21/2021,Up,10/13/2021,73.5,80.15,"159,009",193.2,11/24/2021,91.62 or 25%,59.13 or -13%,Target (91.62) reached on 11/01/2021,20,Tall,
RELINFRA.txt,137.05,High & tight flag (HTF),03/19/2021,05/28/2021,Up,06/07/2021,71.4,74.5,"8,924,710",108.65,06/21/2021,91.52 or 28%,58.5 or -12%,Target (91.52) reached on 06/15/2021,71,Tall,
TOTAL.txt,144.4,High & tight flag (HTF),06/21/2021,07/20/2021,Up,12/13/2021,73.65,81,"52,322",106.5,12/16/2021,91.2 or 24%,52.5 or -13%,Target (91.2) reached on 12/15/2021,30,Tall,
DEEPINDS.txt,172.6,High & tight flag (HTF),04/27/2021,05/14/2021,Up,06/08/2021,71.85,85.5,"56,058",97.3,06/09/2021,90.88 or 26%,55.94 or -14%,Target (90.88) reached on 06/09/2021,18,Tall,
MRPL.txt,64.8,High & tight flag (HTF),02/24/2022,04/21/2022,Up,04/29/2022,72.9,73.7,"7,607,202",84.6,05/04/2022,90.82 or 25%,58.52 or -13%,Target (90.82) reached on 05/19/2022,57,Tall,
SUBCAPCITY.txt,89.05,High & tight flag (HTF),01/27/2022,03/15/2022,Up,04/18/2022,70.25,75.35,"1,585",122.5,05/04/2022,90.18 or 28%,66.52 or -3%,Target (90.18) reached on 04/25/2022,48,Tall,
JPPOWER.txt,6.25,High & tight flag (HTF),11/23/2021,01/04/2022,Up,01/07/2022,8,8.7,"119,348,177",11.15,01/12/2022,9.95 or 24%,5.58 or -19%,Target (9.95) reached on 01/11/2022,43,Tall,
EASTSILK.txt,2.2,High & tight flag (HTF),10/26/2021,12/20/2021,Up,12/23/2021,7.9,8.65,"139,183",14.3,01/12/2022,9.88 or 25%,7.43 or -6%,Target (9.88) reached on 12/29/2021,56,Tall,
PATSPINLTD.txt,14.1,High & tight flag (HTF),05/03/2021,06/23/2021,Up,06/30/2021,7.9,8.3,"14,336",14.4,08/04/2021,9.78 or 24%,6.5 or -12%,Target (9.78) reached on 07/23/2021,52,Tall,
SAKUMA.txt,14.6,High & tight flag (HTF),03/31/2021,05/12/2021,Up,06/11/2021,7.7,8.3,"669,816",9.75,06/14/2021,9.52 or 24%,5.88 or -13%,Target (9.52) reached on 06/14/2021,43,Tall,
PRAKASHSTL.txt,4.45,High & tight flag (HTF),10/06/2021,12/08/2021,Up,01/03/2022,7,7.4,"1,949,083",9.75,01/12/2022,9.52 or 36%,6.02 or -9%,Target (9.52) reached on 01/12/2022,64,Tall,
CENTEXT.txt,10.3,High & tight flag (HTF),03/26/2021,05/14/2021,Up,06/10/2021,7.6,9.2,"601,069",11.8,06/17/2021,9.5 or 25%,5.34 or -20%,Target (9.5) reached on 06/11/2021,50,Tall,
SEPOWER.txt,20.2,High & tight flag (HTF),04/23/2021,05/28/2021,Up,06/07/2021,7.4,7.65,"35,040",10.35,07/23/2021,9.4 or 27%,6.29 or -11%,Target (9.4) reached on 07/20/2021,36,Tall,
SPTL.txt,1.5,High & tight flag (HTF),04/19/2021,06/21/2021,Up,11/03/2021,7.2,7.6,"2,121,530",15.3,11/29/2021,9.32 or 29%,6.54 or -6%,Target (9.32) reached on 11/12/2021,64,Tall,
ANGELONE.txt,1462.7,High & tight flag (HTF),04/12/2021,05/12/2021,Up,05/20/2021,690,755.25,"657,124",965,06/08/2021,891.82 or 29%,569.58 or -12%,Target (891.82) reached on 06/07/2021,31,Tall,
MANALIPETC.txt,66.95,High & tight flag (HTF),02/01/2021,03/01/2021,Up,04/05/2021,69.9,74,"1,928,336",104,08/13/2021,89.62 or 28%,53.14 or -12%,Target (89.62) reached on 05/27/2021,29,Tall,
MAZDOCK.txt,1007.1,High & tight flag (HTF),08/04/2022,10/10/2022,Up,11/02/2022,680,729.7,"4,072,123",936.4,12/05/2022,885.78 or 30%,556.45 or -12%,Target (885.78) reached on 11/17/2022,68,Tall,
HAPPSTMNDS.txt,913.45,High & tight flag (HTF),02/01/2021,04/08/2021,Up,04/29/2021,694.9,705,"3,538,947",1580,07/16/2021,872 or 25%,591.29 or -9%,Target (872) reached on 05/27/2021,67,Tall,
MCDHOLDING.txt,126.75,High & tight flag (HTF),04/29/2021,06/23/2021,Up,09/28/2021,71.05,73.4,"153,870",193.2,11/24/2021,87.9 or 24%,62.24 or -8%,Target (87.9) reached on 10/29/2021,56,Tall,
SERVOTECH.txt,130.15,High & tight flag (HTF),11/02/2021,12/21/2021,Up,12/28/2021,64.35,67,"133,204",111.55,01/12/2022,87.55 or 36%,54.56 or -8%,Target (87.55) reached on 01/06/2022,50,Tall,
TEXMOPIPES.txt,59.95,High & tight flag (HTF),04/19/2021,05/27/2021,Up,12/02/2021,65.8,71.95,"243,589",100.9,01/18/2022,87.12 or 32%,48.33 or -14%,Target (87.12) reached on 01/12/2022,39,Tall,
ACCURACY.txt,13.15,High & tight flag (HTF),02/01/2021,02/26/2021,Up,06/07/2021,69.3,70.95,"16,946",96.3,06/09/2021,86.8 or 25%,50.91 or -13%,Target (86.8) reached on 06/09/2021,26,Tall,
MAWANASUG.txt,95.7,High & tight flag (HTF),04/13/2021,06/14/2021,Up,06/29/2021,69,75.9,"179,711",120,07/14/2021,85.5 or 24%,63.5 or -8%,Target (85.5) reached on 07/05/2021,63,Tall,
AWL.txt,429.75,High & tight flag (HTF),02/08/2022,04/07/2022,Up,04/18/2022,639.3,690.55,"22,305,908",878,04/28/2022,845.45 or 32%,549.94 or -9%,Target (845.45) reached on 04/28/2022,59,Tall,
CANTABIL.txt,1031.95,High & tight flag (HTF),08/27/2021,10/11/2021,Up,12/10/2021,681,691.4,"75,358",950,02/07/2022,844 or 24%,582.52 or -10%,Target (844) reached on 01/03/2022,46,Tall,
ARIHANTSUP.txt,168.1,High & tight flag (HTF),03/22/2021,04/27/2021,Up,05/14/2021,66.85,69.75,"50,636",131.95,08/10/2021,84 or 26%,55.64 or -15%,Target (84) reached on 06/03/2021,37,Tall,
ADORWELD.txt,1163,High & tight flag (HTF),04/05/2021,06/08/2021,Up,06/29/2021,655,670,"70,527",880.2,07/16/2021,832.38 or 27%,516.36 or -13%,Target (832.38) reached on 07/16/2021,65,Tall,
TIMESGTY.txt,56,High & tight flag (HTF),04/15/2021,04/28/2021,Up,10/12/2021,62.35,65,"18,360",65.55,10/12/2021,83.02 or 33%,38.59 or -15%,Target (83.02) reached on 02/18/2022,14,Tall,
ONEPOINT.txt,22.3,High & tight flag (HTF),09/24/2021,11/03/2021,Up,11/12/2021,64.75,66.95,"79,404",96.05,01/17/2022,82.35 or 27%,54.45 or -9%,Target (82.35) reached on 12/17/2021,41,Tall,
UNIVPHOTO.txt,391.65,High & tight flag (HTF),09/28/2021,11/30/2021,Up,12/06/2021,660.45,749,"12,446",818,12/08/2021,818.18 or 24%,531.95 or -14%,Target (818.18) reached on 01/31/2022,64,Tall,
INTELLECT.txt,574.3,High & tight flag (HTF),01/25/2021,03/17/2021,Up,03/19/2021,647.9,699,"756,411",892,07/26/2021,815.98 or 26%,495.91 or -12%,Target (815.98) reached on 05/07/2021,52,Tall,
