Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
20MICRONS.txt,100.5,High & tight flag (HTF),03/31/2009,04/29/2009,Up,06/01/2009,26.1,26.95,"41,826",31.75,06/05/2009,32.4 or 24%,20.62 or -15%,Target (32.4) reached on 08/24/2009,30,Tall,
20MICRONS.txt,100.5,High & tight flag (HTF),07/09/2009,09/08/2009,Up,12/01/2009,46.25,48.5,"64,682",53.6,01/29/2010,58.82 or 27%,36.96 or -11%,Stop (36.96) triggered on 05/04/2010,62,Tall,
20MICRONS.txt,100.5,High & tight flag (HTF),03/25/2021,05/18/2021,Up,05/20/2021,58.65,67,"310,451",74.9,05/25/2021,73.88 or 26%,46.36 or -13%,Target (73.88) reached on 05/25/2021,55,Tall,
20MICRONS.txt,100.5,High & tight flag (HTF),12/20/2021,01/18/2022,Up,09/12/2022,108.25,112,"302,424",115.65,09/14/2022,135.57 or 25%,81.52 or -12%,Stop (81.52) triggered on 12/23/2022,30,Tall,
21STCENMGM.txt,19.7,High & tight flag (HTF),05/05/2021,07/09/2021,Up,08/11/2021,25.8,26.75,"4,496",64,11/22/2021,32.75 or 27%,25.31 or -2%,Target (32.75) reached on 08/30/2021,66,Tall,
3IINFOLTD.txt,35.1,High & tight flag (HTF),10/22/2021,11/29/2021,Up,12/15/2021,113.9,116.65,"2,047,227",119.3,12/16/2021,156.07 or 37%,97.48 or -8%,Stop (97.48) triggered on 12/21/2021,39,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),11/26/2008,01/05/2009,Up,06/25/2009,12.3,13.45,259,15.8,08/28/2009,15.3 or 24%,12.06 or -1%,Stop (12.06) triggered on 07/09/2009,41,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),11/11/2009,12/04/2009,Up,06/23/2010,23.25,24.65,"3,083",32.2,07/30/2010,29.48 or 27%,16.74 or -11%,Target (29.48) reached on 07/29/2010,24,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),04/23/2010,06/24/2010,Up,07/29/2010,28.8,32.1,"6,995",32.2,07/30/2010,36.08 or 25%,21.96 or -12%,Stop (21.96) triggered on 12/06/2010,63,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),10/20/2015,12/10/2015,Up,01/12/2016,22.15,25.3,"5,004",25.4,01/13/2016,27.7 or 25%,17.39 or -11%,Stop (17.39) triggered on 02/08/2016,52,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),08/29/2016,10/19/2016,Up,01/06/2022,19.9,21.75,"15,116",26.3,01/13/2022,25.22 or 27%,17.84 or -10%,Target (25.22) reached on 01/13/2022,52,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),04/03/2020,04/29/2020,Up,07/17/2020,7.2,7.75,"1,328",8.1,07/22/2020,9.1 or 26%,6.92 or -2%,Stop (6.92) triggered on 08/11/2020,27,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),10/12/2020,12/15/2020,Up,05/07/2021,13.55,15,"18,117",17.1,05/11/2021,17.42 or 29%,8.44 or -20%,Target (17.42) reached on 07/12/2021,65,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),03/31/2021,05/11/2021,Up,07/09/2021,17.1,18,"42,058",18.8,07/13/2021,21.82 or 28%,12.92 or -11%,Stop (12.92) triggered on 08/24/2021,42,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),12/03/2021,01/13/2022,Up,01/09/2023,26.3,28.05,"19,575",36.65,01/13/2023,33.4 or 27%,21.48 or -11%,Target (33.4) reached on 01/12/2023,42,Tall,
3PLAND.txt,21.2,High & tight flag (HTF),12/26/2022,01/13/2023,None yet,,36.65,0,"13,787",,,47.72 or 30%,17.86 or -12%,Open,19,Tall,
5PAISA.txt,365.95,High & tight flag (HTF),12/05/2017,12/27/2017,Up,05/02/2018,408.15,446,"10,504",509.85,05/08/2018,521.72 or 28%,356.96 or -9%,Stop (356.96) triggered on 05/24/2018,23,Tall,
5PAISA.txt,365.95,High & tight flag (HTF),03/24/2020,04/15/2020,Up,06/19/2020,175,175,"15,281",263.25,06/25/2020,217.5 or 24%,145.85 or -12%,Target (217.5) reached on 06/24/2020,23,Tall,
5PAISA.txt,365.95,High & tight flag (HTF),05/22/2020,06/25/2020,Up,07/10/2020,263.25,325.2,"29,719",465,07/27/2020,328.9 or 25%,205.34 or -16%,Target (328.9) reached on 07/15/2020,35,Tall,
5PAISA.txt,365.95,High & tight flag (HTF),07/01/2020,07/27/2020,Up,07/08/2021,465,483,"99,408",580,07/15/2021,596.5 or 28%,403.34 or -8%,Stop (403.34) triggered on 11/22/2021,27,Tall,
63MOONS.txt,171,High & tight flag (HTF),08/10/2017,10/11/2017,Up,10/17/2017,118.8,131,"964,505",164.9,10/24/2017,151.2 or 27%,100.66 or -11%,Target (151.2) reached on 10/19/2017,63,Tall,
63MOONS.txt,171,High & tight flag (HTF),02/18/2019,04/18/2019,Up,05/03/2019,141,155,"528,860",184.75,05/10/2019,176.08 or 25%,122.22 or -11%,Target (176.08) reached on 05/09/2019,60,Tall,
63MOONS.txt,171,High & tight flag (HTF),10/29/2021,12/16/2021,Up,12/28/2021,216.85,227,"345,467",372.6,01/18/2022,280 or 29%,179.48 or -7%,Target (280) reached on 01/07/2022,49,Tall,
63MOONS.txt,171,High & tight flag (HTF),12/21/2021,01/13/2022,Up,01/17/2022,351.9,372.6,"416,085",372.6,01/18/2022,442.68 or 26%,287.24 or -7%,Stop (287.24) triggered on 01/25/2022,24,Tall,
A2ZINFRA.txt,8,High & tight flag (HTF),05/08/2014,06/09/2014,Up,07/01/2014,18.55,19.95,"526,388",36.25,07/25/2014,22.98 or 24%,16.34 or -10%,Target (22.98) reached on 07/08/2014,33,Tall,
A2ZINFRA.txt,8,High & tight flag (HTF),06/17/2014,07/14/2014,Up,07/21/2014,28.95,31.7,"574,427",36.25,07/25/2014,36.08 or 25%,26.68 or -4%,Target (36.08) reached on 07/25/2014,28,Tall,
A2ZINFRA.txt,8,High & tight flag (HTF),06/11/2015,07/14/2015,Up,07/17/2015,26.65,29.1,"351,349",32.9,07/21/2015,33.98 or 28%,20.98 or -14%,Stop (20.98) triggered on 08/25/2015,34,Tall,
A2ZINFRA.txt,8,High & tight flag (HTF),05/11/2016,06/29/2016,Up,11/01/2016,44.75,47.95,"828,218",51.45,11/01/2016,55.95 or 25%,37.01 or -11%,Stop (37.01) triggered on 11/09/2016,50,Tall,
A2ZINFRA.txt,8,High & tight flag (HTF),01/29/2019,03/06/2019,None yet,,19.35,0,"477,084",,,24.38 or 26%,7.06 or -13%,Open,37,Tall,
A2ZINFRA.txt,8,High & tight flag (HTF),10/21/2021,12/17/2021,Up,12/28/2021,8.2,8.65,"928,869",14.1,01/13/2022,10.2 or 24%,6.84 or -9%,Target (10.2) reached on 01/04/2022,58,Tall,
A2ZINFRA.txt,8,High & tight flag (HTF),12/21/2021,01/13/2022,Up,04/21/2022,14.1,15.4,"736,018",16.15,04/25/2022,17.52 or 24%,12.57 or -8%,Stop (12.57) triggered on 05/04/2022,24,Tall,
AAKASH.txt,6.1,High & tight flag (HTF),12/03/2020,02/12/2021,Up,02/18/2021,115.95,117.5,"44,297",301,09/14/2021,148.5 or 28%,106.81 or -6%,Target (148.5) reached on 05/06/2021,72,Tall,
AAREYDRUGS.txt,31.45,High & tight flag (HTF),11/22/2021,01/20/2022,None yet,,64.35,0,"50,925",,,80.7 or 25%,28.68 or -7%,Open,60,Tall,
AARON.txt,220.8,High & tight flag (HTF),11/12/2020,11/27/2020,Up,05/14/2021,67.95,89.45,"7,298",106.55,05/19/2021,87.92 or 29%,47.14 or -16%,Target (87.92) reached on 05/17/2021,16,Tall,
AARON.txt,220.8,High & tight flag (HTF),04/22/2021,05/19/2021,Up,07/13/2021,106.55,113.2,"18,203",136,07/29/2021,137.3 or 29%,92.49 or -10%,Stop (92.49) triggered on 08/24/2021,28,Tall,
AARON.txt,220.8,High & tight flag (HTF),06/21/2021,07/16/2021,Up,07/26/2021,124.75,131.35,"23,178",136,07/29/2021,154.6 or 24%,101.81 or -10%,Stop (101.81) triggered on 08/11/2021,26,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),02/11/1999,03/22/1999,Up,03/24/1999,4.15,4.15,"54,181",4.32,03/24/1999,5.32 or 28%,3.21 or -12%,Stop (3.21) triggered on 03/31/1999,40,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),07/20/1999,09/16/1999,Up,10/12/1999,4.19,4.59,"57,095",5.5,10/21/1999,5.26 or 26%,3.04 or -15%,Target (5.26) reached on 10/15/1999,59,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),09/22/1999,10/21/1999,Up,02/23/2000,5.5,5.99,"128,250",6.22,02/25/2000,6.81 or 24%,3.88 or -17%,Stop (3.88) triggered on 03/13/2000,30,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),08/11/2004,10/06/2004,Up,11/03/2004,19.2,20.06,"1,326,317",22.76,12/21/2004,23.86 or 24%,16.2 or -11%,Stop (16.2) triggered on 03/18/2005,57,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),03/20/2009,05/26/2009,Up,08/04/2009,7.94,8.26,"122,013",13.06,09/23/2009,9.85 or 24%,6.68 or -9%,Target (9.85) reached on 09/09/2009,68,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),07/27/2009,09/23/2009,Up,12/09/2009,13.06,14.68,"1,506,565",14.68,12/10/2009,16.32 or 25%,10.39 or -10%,Target (16.32) reached on 06/03/2010,59,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),12/17/2014,02/02/2015,Up,02/18/2015,168.75,171.25,"169,843",201.63,03/17/2015,209.4 or 24%,147.53 or -8%,Stop (147.53) triggered on 03/24/2015,48,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),03/23/2020,05/15/2020,Up,05/26/2020,218.73,222,"439,068",929.75,08/25/2020,275.47 or 26%,185.41 or -11%,Target (275.47) reached on 06/22/2020,54,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),05/19/2020,07/15/2020,Up,07/17/2020,364.98,375.56,"635,681",929.75,08/25/2020,452.21 or 24%,314.86 or -8%,Target (452.21) reached on 08/05/2020,58,Tall,
AARTIDRUGS.txt,454.55,High & tight flag (HTF),07/16/2020,08/25/2020,Up,10/07/2020,929.75,930,"1,475,380",1026.95,10/08/2020,1222.75 or 32%,822.73 or -6%,Stop (822.73) triggered on 10/13/2020,41,Tall,
AARTIIND.txt,518.3,High & tight flag (HTF),06/11/2003,07/31/2003,Up,09/05/2003,4.85,5.42,"424,569",5.61,09/08/2003,6.02 or 24%,3.78 or -11%,Target (6.02) reached on 09/29/2003,51,Tall,
AARTIIND.txt,518.3,High & tight flag (HTF),06/07/2007,06/22/2007,Up,01/01/2008,12.21,13.09,"1,382,661",14.5,01/04/2008,15.81 or 29%,9 or -19%,Stop (9) triggered on 01/21/2008,16,Tall,
AARTIIND.txt,518.3,High & tight flag (HTF),10/22/2007,12/13/2007,Up,01/01/2008,12.1,13.09,"1,382,661",14.5,01/04/2008,15.01 or 24%,9 or -19%,Stop (9) triggered on 01/21/2008,53,Tall,
AARTISURF.txt,629.65,High & tight flag (HTF),08/04/2020,08/28/2020,Up,11/06/2020,590,646.8,"34,489",1209.6,12/03/2020,773.95 or 31%,512.24 or -9%,Target (773.95) reached on 11/13/2020,25,Tall,
AARTISURF.txt,629.65,High & tight flag (HTF),09/28/2020,11/20/2020,Up,11/27/2020,1003.15,1099.9,"29,259",1209.6,12/03/2020,1277.2 or 27%,797.29 or -7%,Target (1277.2) reached on 04/08/2021,54,Tall,
AARTISURF.txt,629.65,High & tight flag (HTF),02/15/2021,04/16/2021,Up,08/05/2021,1730,1799,"51,053",1887,08/06/2021,2157.48 or 25%,1408.13 or -10%,Stop (1408.13) triggered on 08/18/2021,61,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),11/22/2006,01/15/2007,Up,01/24/2007,102.85,105.5,"145,787",121.95,02/08/2007,129.02 or 25%,81.79 or -13%,Stop (81.79) triggered on 07/04/2007,55,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),08/06/2007,09/05/2007,None yet,,107.5,0,"13,027",,,133.88 or 25%,18.62 or -10%,Open,31,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),03/09/2009,04/20/2009,Up,05/20/2009,19.05,22.3,"17,611",34,06/05/2009,23.58 or 24%,13.78 or -16%,Target (23.58) reached on 05/26/2009,43,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),05/12/2009,06/05/2009,Up,09/02/2009,34,37.45,"1,048",45.65,09/09/2009,43.48 or 28%,32.92 or -3%,Target (43.48) reached on 09/09/2009,25,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),07/13/2009,09/09/2009,Up,10/05/2009,45.65,45.65,"2,630",65.1,10/22/2009,58.12 or 27%,39.9 or -8%,Target (58.12) reached on 10/20/2009,59,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),09/15/2009,10/22/2009,Up,01/04/2010,65.1,68.55,"3,077",76,01/14/2010,80.78 or 24%,58.4 or -7%,Stop (58.4) triggered on 01/28/2010,38,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),09/12/2012,11/08/2012,Up,01/14/2013,78.8,78.8,"14,821",80.85,01/14/2013,99.95 or 27%,69.21 or -8%,Stop (69.21) triggered on 02/11/2013,58,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),06/03/2015,07/31/2015,Up,06/21/2016,79.95,85,"24,688",83.1,06/21/2016,100.92 or 26%,58.06 or -14%,Target (100.92) reached on 10/20/2016,59,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),08/16/2017,09/11/2017,None yet,,57.45,0,"13,027",,,71.47 or 24%,18.62 or -10%,Open,27,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),04/01/2020,06/04/2020,Up,12/14/2020,13.95,18.2,"13,075",22.9,12/18/2020,17.32 or 24%,11.34 or -15%,Target (17.32) reached on 12/15/2020,65,Tall,
AARVEEDEN.txt,20.55,High & tight flag (HTF),11/05/2020,12/18/2020,Up,04/12/2021,22.9,24,"32,512",26.75,04/12/2021,29.7 or 30%,15.66 or -14%,Target (29.7) reached on 08/03/2021,44,Tall,
AARVI.txt,139.1,High & tight flag (HTF),11/02/2021,12/29/2021,Up,03/30/2022,103.9,113.5,"37,104",127.25,04/04/2022,129.88 or 25%,80.62 or -11%,Target (129.88) reached on 09/14/2022,58,Tall,
AARVI.txt,139.1,High & tight flag (HTF),07/15/2022,09/16/2022,Up,11/28/2022,174.2,195,"68,861",203,11/29/2022,217.68 or 25%,140.69 or -11%,Stop (140.69) triggered on 12/23/2022,64,Tall,
ABAN.txt,41.4,High & tight flag (HTF),11/20/2006,01/12/2007,Up,02/22/2007,1984,1984.7,"126,940",3199.95,06/19/2007,2470.5 or 25%,1737.46 or -8%,Stop (1737.46) triggered on 02/28/2007,54,Tall,
ABAN.txt,41.4,High & tight flag (HTF),09/06/2007,11/06/2007,None yet,,5399.9,0,"111,470",,,6694.85 or 24%,37.96 or -7%,Open,62,Tall,
ABAN.txt,41.4,High & tight flag (HTF),03/09/2009,03/27/2009,Up,04/13/2009,444.9,449.4,"2,151,089",531.6,04/16/2009,556.65 or 25%,369 or -14%,Target (556.65) reached on 05/15/2009,19,Tall,
ABAN.txt,41.4,High & tight flag (HTF),03/31/2009,05/19/2009,Up,06/03/2009,1000,1115,"3,630,437",1309.8,06/08/2009,1316.8 or 32%,761.73 or -17%,Stop (761.73) triggered on 07/08/2009,50,Tall,
ABAN.txt,41.4,High & tight flag (HTF),07/13/2009,08/05/2009,Up,08/26/2009,1219,1549.95,"3,773,839",1682,09/17/2009,1513 or 24%,1038.68 or -13%,Target (1513) reached on 08/26/2009,24,Tall,
ABAN.txt,41.4,High & tight flag (HTF),11/11/2013,01/08/2014,Up,01/31/2014,447.95,454.85,"1,815,293",940,07/08/2014,555.67 or 24%,327.18 or -11%,Target (555.67) reached on 04/03/2014,59,Tall,
ABAN.txt,41.4,High & tight flag (HTF),05/09/2014,07/08/2014,None yet,,940,0,"111,470",,,1164.58 or 24%,37.96 or -7%,Open,61,Tall,
ABAN.txt,41.4,High & tight flag (HTF),03/30/2020,04/20/2020,Up,06/08/2020,24.8,26.95,"62,982",27,06/09/2020,30.78 or 24%,19.01 or -10%,Target (30.78) reached on 06/30/2020,22,Tall,
ABAN.txt,41.4,High & tight flag (HTF),05/20/2020,07/01/2020,Up,02/22/2021,34.95,36.85,"153,261",42.5,02/26/2021,44.02 or 26%,26.26 or -12%,Target (44.02) reached on 06/08/2021,43,Tall,
ABAN.txt,41.4,High & tight flag (HTF),08/24/2021,10/12/2021,None yet,,74.7,0,"111,470",,,93.55 or 25%,37.96 or -7%,Open,50,Tall,
ABB.txt,4349.85,High & tight flag (HTF),02/13/1998,04/20/1998,Up,01/02/2004,138.24,143.6,"214,548",170,04/23/2004,171.11 or 24%,120.76 or -9%,Stop (120.76) triggered on 05/17/2004,67,Tall,
ABB.txt,4349.85,High & tight flag (HTF),03/16/2009,05/19/2009,Up,06/04/2009,700,730,"625,952",834,06/29/2009,875.52 or 25%,578.89 or -13%,Target (875.52) reached on 01/21/2010,65,Tall,
ABFRL.txt,212.5,High & tight flag (HTF),04/27/2015,05/11/2015,Up,07/20/2015,203.9,225.45,"217,031",245,07/22/2015,252.22 or 24%,169.2 or -10%,Target (252.22) reached on 01/01/2016,15,Tall,
ABMINTLLTD.txt,52,High & tight flag (HTF),09/24/2021,10/08/2021,None yet,,160,0,894,,,201.28 or 26%,46.6 or -9%,Open,15,Tall,
ABMINTLLTD.txt,52,High & tight flag (HTF),03/02/2023,03/22/2023,None yet,,74.65,0,894,,,95.48 or 28%,46.6 or -9%,Open,21,Tall,
ACC.txt,1854.85,High & tight flag (HTF),10/13/2000,12/08/2000,Up,12/13/2000,159.9,163.5,"3,972,304",203.9,03/02/2001,198.8 or 24%,137.28 or -10%,Target (198.8) reached on 03/02/2001,57,Tall,
ACCELYA.txt,1348.6,High & tight flag (HTF),12/01/1999,12/22/1999,Up,01/03/2000,763.6,780,"183,848",790,01/04/2000,971.32 or 27%,583 or -13%,Stop (583) triggered on 01/10/2000,22,Tall,
ACCELYA.txt,1348.6,High & tight flag (HTF),08/29/2000,09/11/2000,Up,09/10/2012,194,194,"51,666",406,11/29/2012,245 or 26%,159.78 or -8%,Target (245) reached on 10/19/2012,14,Tall,
