Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
3MINDIA.txt,27679.55,Broadening bottom (BB),02/12/2014,07/08/2014,Up,08/04/2014,5250,5450,"1,434",9585,04/09/2015,7088.95 or 35%,4507.1 or -7%,Target (7088.95) reached on 01/27/2015,147,Tall,
AARTIDRUGS.txt,464.45,Broadening bottom (BB),03/08/2017,03/30/2017,Down,05/03/2017,140.89,140.89,"45,185",111.95,05/24/2017,133.03 or -6%,153.73 or 7%,Target (133.03) reached on 05/05/2017,23,Short,
ABB.txt,4376,Broadening bottom (BB),05/19/2011,09/26/2011,Down,09/29/2011,711,708,"89,849",541,12/20/2011,515 or -28%,812.34 or 7%,Stop (812.34) triggered on 01/30/2012,131,Tall,
ABBOTINDIA.txt,22996.9,Broadening bottom (BB),04/25/2016,07/04/2016,Up,10/06/2016,4815,4852.15,"3,107",5040,11/01/2016,5276.3 or 10%,4564.58 or -4%,Stop (4564.58) triggered on 11/09/2016,71,Short,
ABBOTINDIA.txt,22996.9,Broadening bottom (BB),09/06/2016,10/06/2016,Up,10/28/2016,4874,5040,"3,418",5040,11/01/2016,5236.9 or 7%,4423.82 or -4%,Stop (4423.82) triggered on 11/15/2016,31,Short,
ACC.txt,1838.2,Broadening bottom (BB),02/03/2004,05/17/2004,Up,12/09/2004,308.4,316,"1,451,263",386.85,02/11/2005,395.9 or 28%,286.97 or -5%,Target (395.9) reached on 04/20/2005,105,Tall,
ACC.txt,1838.2,Broadening bottom (BB),08/04/2014,01/23/2015,Up,01/29/2015,1569,1595,"354,256",1774.65,03/04/2015,1801.8 or 15%,1447.44 or -4%,Stop (1447.44) triggered on 04/30/2015,173,Tall,
ACC.txt,1838.2,Broadening bottom (BB),12/18/2019,02/01/2020,Down,02/24/2020,1417.55,1414,"688,052",895.15,03/25/2020,1255.5 or -11%,1526.74 or 5%,Target (1255.5) reached on 03/06/2020,46,Short,
ADANIPORTS.txt,737.8,Broadening bottom (BB),06/20/2018,07/11/2018,Up,07/23/2018,378.3,385.4,"2,862,034",406.4,08/06/2018,401.45 or 6%,346.94 or -5%,Target (401.45) reached on 07/25/2018,22,Short,
AHLEAST.txt,124.65,Broadening bottom (BB),02/24/2012,03/30/2012,Down,05/04/2012,270.4,270.4,554,231.6,05/16/2012,215.9 or -20%,294.41 or 4%,Target (215.9) reached on 09/14/2012,36,Tall,
AIAENG.txt,3355.45,Broadening bottom (BB),04/11/2013,05/31/2013,Up,06/06/2013,324.4,340,"49,610",378,06/06/2013,372.5 or 15%,282.66 or -9%,Target (372.5) reached on 06/06/2013,51,Tall,
AIAENG.txt,3355.45,Broadening bottom (BB),12/23/2021,02/15/2022,Down,02/22/2022,1767,1767,"36,473",1475.05,03/07/2022,1534 or -13%,1906.4 or 7%,Target (1534) reached on 03/04/2022,55,Short,
AJANTPHARM.txt,1474.95,Broadening bottom (BB),12/27/2022,04/11/2023,Up,04/28/2023,1302,1317.8,"86,729",,,1472.3 or 13%,1204.56 or -6%,Target (1472.3) reached on 06/08/2023,106,Tall,
AKASH.txt,28.75,Broadening bottom (BB),01/19/2021,03/15/2021,Down,03/19/2021,197.05,197.05,"38,806",181.6,03/25/2021,144.1 or -27%,256.4 or 16%,Stop (256.4) triggered on 07/06/2021,56,Tall,
AKZOINDIA.txt,2445.3,Broadening bottom (BB),11/12/2013,03/26/2014,Up,03/31/2014,890,892.8,"9,005",1551,02/02/2015,1023.95 or 15%,821.16 or -5%,Stop (821.16) triggered on 05/16/2014,135,Tall,
AKZOINDIA.txt,2445.3,Broadening bottom (BB),02/02/2022,03/11/2022,Down,05/12/2022,1809,1750.05,"10,662",1687.6,06/17/2022,1644.7 or -9%,1894.08 or 3%,Stop (1894.08) triggered on 06/30/2022,38,Short,
ALKEM.txt,3383.9,Broadening bottom (BB),05/17/2019,08/28/2019,Up,09/05/2019,1844.9,1851.75,"33,449",2716.9,02/19/2020,2029.8 or 10%,1710.55 or -6%,Target (2029.8) reached on 11/05/2019,104,Short,
ALLSEC.txt,488,Broadening bottom (BB),07/01/2022,07/20/2022,Up,07/28/2022,441.2,464.5,"10,484",584.9,01/24/2023,462.4 or 5%,402.28 or -5%,Target (462.4) reached on 07/29/2022,20,Short,
ALPHAGEO.txt,267.45,Broadening bottom (BB),09/26/2022,01/03/2023,Down,02/14/2023,253.05,250.1,"11,801",198.25,03/31/2023,198.1 or -22%,296.42 or 8%,Open,100,Tall,
AMARAJABAT.txt,634.45,Broadening bottom (BB),06/14/2017,07/05/2017,Up,07/10/2017,863.4,866,"375,621",872.4,07/11/2017,897.7 or 4%,814.42 or -3%,Stop (814.42) triggered on 08/04/2017,22,Short,
AMARAJABAT.txt,634.45,Broadening bottom (BB),03/06/2023,03/27/2023,Up,04/03/2023,584.95,587.55,"423,087",,,617.2 or 6%,549.23 or -4%,Target (617.2) reached on 05/08/2023,22,Short,
AMBIKCO.txt,1549.9,Broadening bottom (BB),01/10/2019,03/05/2019,Down,04/22/2019,1116,1116,"2,406",577,03/13/2020,1066.3 or -4%,1171.19 or 3%,Target (1066.3) reached on 06/18/2019,55,Short,
AMBUJACEM.txt,448.95,Broadening bottom (BB),01/14/2016,03/09/2016,Up,03/16/2016,205.35,207.5,"1,742,557",281.7,08/31/2016,225.7 or 10%,194.21 or -4%,Target (225.7) reached on 03/21/2016,56,Short,
AMBUJACEM.txt,448.95,Broadening bottom (BB),11/21/2017,12/20/2017,Up,12/26/2017,272.4,273.5,"2,006,716",280,01/16/2018,289.8 or 6%,255.07 or -4%,Stop (255.07) triggered on 02/05/2018,30,Short,
AMRUTANJAN.txt,619.65,Broadening bottom (BB),08/11/2017,02/06/2018,Down,03/07/2018,276.5,276.5,"33,284",261.85,03/23/2018,206.92 or -25%,311.18 or 7%,Stop (311.18) triggered on 04/13/2018,180,Tall,
AMRUTANJAN.txt,619.65,Broadening bottom (BB),06/02/2021,08/10/2021,Up,09/17/2021,744.85,747.9,"53,949",1024.55,11/08/2021,837.15 or 12%,686.6 or -6%,Target (837.15) reached on 09/21/2021,70,Tall,
AMRUTANJAN.txt,619.65,Broadening bottom (BB),11/28/2022,12/30/2022,Up,01/10/2023,730,740,"15,224",746,01/11/2023,772 or 6%,676.88 or -4%,Stop (676.88) triggered on 02/14/2023,33,Short,
ANDHRSUGAR.txt,112.15,Broadening bottom (BB),06/04/2004,06/30/2004,Up,07/26/2004,55,56.5,"63,544",157.65,01/03/2005,62.5 or 14%,47.24 or -10%,Target (62.5) reached on 08/02/2004,27,Tall,
ANDHRSUGAR.txt,112.15,Broadening bottom (BB),02/19/2007,08/03/2007,Up,12/17/2007,112,129,"98,754",164.9,01/07/2008,143.7 or 28%,88.01 or -13%,Target (143.7) reached on 01/03/2008,166,Tall,
APARINDS.txt,3040.9,Broadening bottom (BB),08/21/2017,09/15/2017,Down,09/28/2017,745,745,"19,491",711.65,11/02/2017,680 or -9%,810.92 or 6%,Stop (810.92) triggered on 12/20/2017,26,Short,
APOLLOHOSP.txt,5162.05,Broadening bottom (BB),06/03/2008,06/27/2008,Down,08/19/2008,237.5,237,"144,348",229.5,08/21/2008,220.5 or -7%,250.59 or 4%,Stop (250.59) triggered on 09/02/2008,25,Short,
APOLLOHOSP.txt,5162.05,Broadening bottom (BB),03/31/2016,08/09/2016,Down,11/11/2016,1267.85,1260,"185,558",1111.6,12/26/2016,1092.7 or -14%,1398.58 or 5%,Target (1092.7) reached on 08/21/2017,132,Short,
ASAHIINDIA.txt,495.3,Broadening bottom (BB),06/27/2018,09/03/2018,Down,09/28/2018,318.45,318.45,"26,979",170,10/01/2019,270.9 or -15%,362.16 or 8%,Target (270.9) reached on 11/19/2018,69,Tall,
ASAL.txt,334.55,Broadening bottom (BB),11/01/2012,11/27/2012,Up,12/13/2012,45.9,49,"4,712",59.4,12/21/2012,49.6 or 8%,41.12 or -7%,Target (49.6) reached on 12/14/2012,27,Short,
ASAL.txt,334.55,Broadening bottom (BB),06/21/2019,07/15/2019,Down,07/16/2019,42.05,42.05,"12,244",36.5,07/30/2019,33.9 or -19%,54.93 or 9%,Target (33.9) reached on 07/31/2019,25,Tall,
ASHIANA.txt,184.1,Broadening bottom (BB),08/14/2019,09/19/2019,Down,10/03/2019,103.5,103.5,"43,000",86,12/09/2019,88.1 or -15%,117.2 or 9%,Target (88.1) reached on 12/02/2019,37,Tall,
