Symbol,First Date,Last Date
India VIX,01/19/2023,06/16/2023
Nifty 10 yr Benchmark G-Sec (Clean Price),01/19/2023,06/16/2023
Nifty 10 yr Benchmark G-Sec,01/19/2023,06/16/2023
Nifty 100,01/19/2023,06/16/2023
Nifty 11-15 yr G-Sec Index,01/19/2023,06/16/2023
Nifty 15 yr and above G-Sec Index,01/19/2023,06/16/2023
Nifty 1D Rate Index,01/19/2023,06/16/2023
Nifty 200,01/19/2023,06/16/2023
Nifty 4-8 yr G-Sec Index,01/19/2023,06/16/2023
Nifty 50 Arbitrage,01/19/2023,06/16/2023
Nifty 50 Futures Index,01/19/2023,06/16/2023
Nifty 50 Futures TR Index,01/19/2023,06/16/2023
Nifty 50,01/19/2023,06/16/2023
Nifty 500,01/19/2023,06/16/2023
Nifty 8-13 yr G-Sec,01/19/2023,06/16/2023
Nifty Aditya Birla Group,01/19/2023,06/16/2023
Nifty Alpha 50,01/19/2023,06/16/2023
NIFTY Alpha Low-Volatility 30,01/19/2023,06/16/2023
NIFTY Alpha Quality Low-Volatility 30,01/19/2023,06/16/2023
NIFTY Alpha Quality Value Low-Volatility 30,01/19/2023,06/16/2023
Nifty Auto,01/19/2023,06/16/2023
Nifty Bank,01/19/2023,06/16/2023
Nifty Commodities,01/19/2023,06/16/2023
Nifty Composite G-sec Index,01/19/2023,06/16/2023
Nifty Consumer Durables,01/19/2023,06/16/2023
Nifty Core Housing,05/15/2023,06/16/2023
Nifty CPSE,01/19/2023,06/16/2023
Nifty Dividend Opportunities 50,01/19/2023,06/16/2023
Nifty Energy,01/19/2023,06/16/2023
Nifty Financial Services Ex-Bank,01/19/2023,06/16/2023
Nifty Financial Services,01/19/2023,06/16/2023
Nifty FMCG,01/19/2023,06/16/2023
Nifty Free Float Midcap 100,11/03/2017,03/28/2018
Nifty Free Float Smallcap 100,11/03/2017,03/28/2018
Nifty Full Midcap 100,11/03/2017,03/28/2018
Nifty Full Smallcap 100,11/03/2017,03/28/2018
Nifty Growth Sectors 15,01/19/2023,06/16/2023
Nifty Healthcare Index,01/19/2023,06/16/2023
Nifty High Beta 50,01/19/2023,06/16/2023
Nifty Housing,01/19/2023,06/16/2023
Nifty India Consumption,01/19/2023,06/16/2023
Nifty India Defence,01/19/2023,06/16/2023
Nifty India Digital,01/19/2023,06/16/2023
Nifty India Manufacturing,01/19/2023,06/16/2023
Nifty Infrastructure,01/19/2023,06/16/2023
Nifty IT,01/19/2023,06/16/2023
NIFTY LargeMidcap 250,01/19/2023,06/16/2023
Nifty Low Volatility 50,01/19/2023,06/16/2023
Nifty Mahindra Group,01/19/2023,06/16/2023
Nifty Media,01/19/2023,06/16/2023
Nifty Metal,01/19/2023,06/16/2023
Nifty Microcap 250,01/19/2023,06/16/2023
NIFTY Midcap 100,01/19/2023,06/16/2023
Nifty Midcap 150,01/19/2023,06/16/2023
Nifty Midcap 50,01/19/2023,06/16/2023
Nifty Midcap Liquid 15,01/19/2023,06/16/2023
Nifty Midcap Select,01/19/2023,06/16/2023
Nifty Midcap150 Momentum 50,01/19/2023,06/16/2023
NIFTY Midcap150 Quality 50,01/19/2023,06/16/2023
Nifty MidSmall Financial Services,01/19/2023,06/16/2023
Nifty MidSmall Healthcare,01/19/2023,06/16/2023
Nifty MidSmall India Consumption,01/19/2023,06/16/2023
Nifty MidSmall IT & Telecom,01/19/2023,06/16/2023
Nifty MidSmallcap 400,01/19/2023,06/16/2023
Nifty MNC,01/19/2023,06/16/2023
Nifty Mobility,01/19/2023,06/16/2023
Nifty Next 50,01/19/2023,06/16/2023
Nifty Non-Cyclical Consumer,01/19/2023,06/16/2023
Nifty Oil & Gas,01/19/2023,06/16/2023
Nifty Pharma,01/19/2023,06/16/2023
Nifty Private Bank,01/19/2023,06/16/2023
Nifty PSE,01/19/2023,06/16/2023
Nifty PSU Bank,01/19/2023,06/16/2023
Nifty Quality 30,02/20/2018,07/13/2018
NIFTY Quality Low-Volatility 30,01/19/2023,06/16/2023
Nifty Realty,01/19/2023,06/16/2023
Nifty REITs & InvITs,04/06/2023,06/16/2023
Nifty Services Sector,01/19/2023,06/16/2023
Nifty Shariah 25,01/19/2023,06/16/2023
NIFTY Smallcap 100,01/19/2023,06/16/2023
Nifty Smallcap 250,01/19/2023,06/16/2023
Nifty Smallcap 50,01/19/2023,06/16/2023
Nifty Smallcap250 Quality 50,03/16/2023,06/16/2023
NIFTY SME EMERGE,01/19/2023,06/16/2023
Nifty Tata Group 25% Cap,01/19/2023,06/16/2023
Nifty Tata Group,01/19/2023,06/16/2023
Nifty Total Market,01/19/2023,06/16/2023
Nifty Transportation & Logistics,01/19/2023,06/16/2023
NIFTY100 Alpha 30,01/19/2023,06/16/2023
NIFTY100 Enhanced ESG,01/19/2023,06/16/2023
Nifty100 Equal Weight,01/19/2023,06/16/2023
