symbol,date,close,EMA_50,EMA_150,EMA_200,EMA_200_30,52 week high,52 week low,Mark,Down from 52w high
20MICRONS,20230714,96.4,92.49,88.31,87.3,85.05,119.7,63.05,20230531,19.47
21STCENMGM,20230714,19.5,20.87,20.88,21.48,21.38,30.85,16.5,,36.79
360ONE,20230714,510.6,462.63,445,440.46,427.77,514.85,395.1,20230630,0.83
3IINFOLTD,20230714,34.1,33.53,35.53,37.7,39.07,54.2,26.25,,37.08
3MINDIA,20230714,28597.45,26868.56,25003.05,24564.96,23507.71,29190,21300.45,20230504,2.03
3PLAND,20230714,19.5,20.43,20.73,20.39,20.61,36.65,14.5,,46.79
4THDIM,20230714,16.25,18.61,20.81,21.69,,,,,
5PAISA,20230714,397.8,373.59,341.38,337.06,319.45,444.3,270.1,20230630,10.47
63MOONS,20230714,268.2,219.26,194.19,189.87,173.48,282.1,140.55,20230630,4.93
A2ZINFRA,20230714,6.95,7.2,7.81,8.12,8.46,14.75,5.1,,52.88
AAATECH,20230714,53.95,54.82,57.12,,,,,,
AAKASH,20230714,5.85,6.09,7.24,8.16,8.94,16.05,5.7,,63.55
AAREYDRUGS,20230714,32.75,32.28,32.16,32.78,32.6,44.8,22,,26.9
AARON,20230714,232.65,225.64,205.63,196.56,185.28,260.35,117.55,20230705,10.64
AARTECH,20230714,110.8,,,,,,,,
AARTIDRUGS,20230714,498,462.38,443.2,443.52,434.66,512.4,313.9,,2.81
AARTIIND,20230714,453.3,491.64,544.41,572.4,604.04,924.4,445,,50.96
AARTIPHARM,20230714,340.9,361.19,,,,,,,
AARTISURF,20230714,608.15,616.47,622.33,640.05,647.84,948.8,418.05,,35.9
AARVEEDEN,20230714,20.2,20.44,21.55,21.94,22.55,31,16.25,,34.84
AARVI,20230714,141.05,137.27,135.88,134.2,132.52,203,96,20230711,30.52
AAVAS,20230714,1558.65,1510.91,1637.51,1709.88,1774.44,2411.4,1335.5,,35.36
ABAN,20230714,39.8,40.3,41.62,42.46,43.17,64.2,31.4,,38.01
ABB,20230714,4383.8,4245.32,3746.56,3574.59,3286.59,4558,2640,20230425,3.82
ABBOTINDIA,20230714,23293.9,22923.15,21885.57,21477.85,20833.45,23869.95,17325,20230609,2.41
ABCAPITAL,20230714,189.1,182.5,164.62,157.98,147.25,199.3,101.65,20230329,5.12
ABFRL,20230714,214.9,212.58,229.41,236.79,245.08,359.5,184.4,,40.22
ABMINTLLTD,20230710,51.95,52.89,57.39,60.94,63.62,88.65,33,,41.4
