symbol,date,close,EMA_50,EMA_150,EMA_200,EMA_200_30,52 week high,52 week low,Ticker,Date/Time,Close,EMA 50,EMA 150,EMA 200,EMA 200 -30,52W Hi,52W Lo
20MICRONS,20230711,93.35,91.13,86.37,85.2,81.81,110.55,61.85,20MICRONS,07/11/2023,93.35,91.13,86.37,85.2,81.81,110.55,61.85
21STCENMGM,20230711,20.7,20.35,20.74,21.48,21.8,30.25,16.8,21STCENMGM,07/11/2023,20.7,20.35,20.74,21.48,21.8,30.25,16.8
360ONE,20230711,487.9,443.29,,,,,,360ONE,07/11/2023,487.9,443.29,,,,487.9,401.35
3IINFOLTD,20230711,33.05,33.49,36.02,38.46,40.15,52.55,26.45,3IINFOLTD,07/11/2023,33.05,33.49,36.02,38.46,40.15,52.55,26.45
3MINDIA,20230711,27972.4,26016.79,24336.79,24003.01,22920.46,28143.15,21505.7,3MINDIA,07/11/2023,27972.4,26016.79,24336.79,24002.97,22920.41,28143.15,21505.7
3PLAND,20230711,19.7,21.1,20.98,20.51,20.43,34.95,13.9,3PLAND,07/11/2023,19.7,21.1,20.98,20.51,20.43,34.95,13.9
4THDIM,20230711,15.35,20.6,21.86,22.6,,,,4THDIM,07/11/2023,15.35,20.6,21.86,22.6,,43.45,4.37
5PAISA,20230711,409.05,354.24,328.69,327.05,311.14,411.55,267.35,5PAISA,07/11/2023,409.05,354.24,328.69,327.05,311.14,411.55,267.35
63MOONS,20230711,245.3,194.03,181.54,179.89,174.4,246.9,142.15,63MOONS,07/11/2023,245.3,194.03,181.54,179.89,174.4,246.9,142.15
A2ZINFRA,20230711,7,7.32,7.99,8.3,8.54,14.1,5.7,A2ZINFRA,07/11/2023,7,7.32,7.99,8.3,8.54,14.1,5.7
AAATECH,20230711,53.35,55.42,57.83,,,,,AAATECH,07/11/2023,53.35,55.42,57.83,,,78.75,43
AAKASH,20230711,6.05,6.22,7.55,8.55,9.4,16.05,5.9,AAKASH,07/11/2023,6.05,6.22,7.55,8.55,9.4,16.05,5.9
AAREYDRUGS,20230711,32.7,31.4,31.89,32.69,32.77,42.15,22.6,AAREYDRUGS,07/11/2023,32.7,31.4,31.89,32.69,32.77,42.15,22.6
AARON,20230711,235.8,220.56,199.59,190.58,179.14,258.75,111.75,AARON,07/11/2023,235.8,220.56,199.59,190.58,179.14,258.75,111.75
AARTIDRUGS,20230711,467.75,450.48,435.51,437.97,430.2,501.4,317.1,AARTIDRUGS,07/11/2023,467.75,450.48,435.51,437.97,430.2,501.4,317.1
AARTIIND,20230711,449.2,509.11,561.42,589.65,619.51,908.4,449.2,AARTIIND,07/11/2023,449.2,509.11,561.42,589.65,619.51,908.4,449.2
AARTIPHARM,20230711,336.8,366.93,,,,,,AARTIPHARM,07/11/2023,336.8,366.93,,,,408.65,247.15
AARTISURF,20230711,609.8,617.71,624.04,644.36,650.24,885.9,420.5,AARTISURF,07/11/2023,609.8,617.71,624.04,644.36,650.24,885.9,420.5
AARVEEDEN,20230711,20.15,20.68,21.87,22.24,22.88,29.7,17.25,AARVEEDEN,07/11/2023,20.15,20.68,21.87,22.24,22.88,29.7,17.25
AARVI,20230711,142.1,135.42,135.06,133.3,131.48,191.2,87.65,AARVI,07/11/2023,142.1,135.42,135.06,133.3,131.48,191.2,87.65
AAVAS,20230711,1552.8,1482.24,1660.07,1738.94,1844.47,2395.7,1336.95,AAVAS,07/11/2023,1552.8,1482.24,1660.07,1738.91,1844.43,2395.7,1336.95
ABAN,20230711,40.75,40.24,41.92,42.83,43.58,59.25,31.75,ABAN,07/11/2023,40.75,40.24,41.92,42.83,43.58,59.25,31.75
ABB,20230711,4499.25,4088.46,3586.34,3427.86,3131.45,4499.25,2364.75,ABB,07/11/2023,4499.25,4088.46,3586.34,3427.83,3131.41,4499.25,2364.75
ABBOTINDIA,20230711,23693.2,22471.19,21519.46,21139.83,20609.85,23825.75,17378.45,ABBOTINDIA,07/11/2023,23693.2,22471.19,21519.47,21140,20610.07,23825.75,17378.45
ABCAPITAL,20230711,183.8,175.93,158.59,152.43,142.55,196.3,89.85,ABCAPITAL,07/11/2023,183.8,175.93,158.59,152.43,142.55,196.3,89.85
ABFRL,20230711,217.9,211.26,233.07,240.74,251.76,358.15,189.85,ABFRL,07/11/2023,217.9,211.26,233.07,240.74,251.76,358.15,189.85
ABSLAMC,20230711,376.75,366.06,383.89,397.62,407.28,495.1,309.25,ABSLAMC,07/11/2023,376.75,366.06,383.89,397.62,407.28,495.1,309.25
ACC,20230711,1783.25,1809.48,1926.84,1976.52,2031.52,2747.7,1613.95,ACC,07/11/2023,1783.25,1809.48,1926.84,1976.51,2031.5,2747.7,1613.95
ACCELYA,20230711,1307.5,1324.8,1301.16,1282.85,1263.3,1707.3,867.95,ACCELYA,07/11/2023,1307.5,1324.8,1301.16,1282.86,1263.32,1707.3,867.95
ACCURACY,20230711,10.5,11.97,14.81,15.66,17.22,26.93,9.95,ACCURACY,07/11/2023,10.5,11.97,14.81,15.66,17.22,26.93,9.95
ACE,20230711,615.4,481.68,411.06,387.41,348.08,615.4,215.15,ACE,07/11/2023,615.4,481.68,411.06,387.41,348.08,615.4,215.15
ACEINTEG,20230711,39.75,39.53,47.12,,,,,ACEINTEG,07/11/2023,39.75,39.53,47.12,,,74,34.1
ACI,20230711,534.5,552.94,571,,,,,ACI,07/11/2023,534.5,552.94,571,,,676.65,454.85
ACL,20230711,85.35,,,,,,,ACL,07/11/2023,85.35,,,,,152.55,57.6
ADANIENT,20230711,2422.9,2304.23,2403.12,2442.68,2452.51,4165.3,1193.5,ADANIENT,07/11/2023,2422.9,2304.23,2403.12,2442.68,2452.51,4165.3,1193.5
ADANIGREEN,20230711,965.15,956.13,1164.76,1266.28,1371.65,2519.75,462.2,ADANIGREEN,07/11/2023,965.15,956.13,1164.76,1266.29,1371.65,2519.75,462.2
ADANIPORTS,20230711,729.9,720.15,719.52,725.6,721.79,970.25,462.45,ADANIPORTS,07/11/2023,729.9,720.15,719.52,725.6,721.79,970.25,462.45
ADANIPOWER,20230711,244.2,245.81,245.65,247.01,243.66,432.5,139.35,ADANIPOWER,07/11/2023,244.2,245.81,245.65,247,243.65,432.5,139.35
ADANITRANS,20230711,754.05,852.42,1340.94,1523.37,1778.38,4105.4,642.9,ADANITRANS,07/11/2023,754.05,852.42,1340.94,1523.37,1778.38,4105.4,642.9
ADFFOODS,20230711,1055.6,920.41,828.51,811.58,758.61,1120.65,674,ADFFOODS,07/11/2023,1055.6,920.41,828.51,811.57,758.61,1120.65,674
ADL,20230711,79.85,73.79,68.15,66.42,62.9,85.5,55.15,ADL,07/11/2023,79.85,73.79,68.15,66.42,62.9,85.5,55.15
ADORWELD,20230711,1255.35,1139.45,1012.94,971.51,901.07,1255.35,695.85,ADORWELD,07/11/2023,1255.35,1139.45,1012.94,971.51,901.07,1255.35,695.85
ADROITINFO,20230711,17.45,19.93,20.6,20.14,20.43,32.15,14.15,ADROITINFO,07/11/2023,17.45,19.93,20.6,20.14,20.43,32.15,14.15
ADSL,20230711,108.15,96.5,95.94,97.41,97.52,142.25,72.9,ADSL,07/11/2023,108.15,96.5,95.94,97.41,97.52,142.25,72.9
ADVANIHOTR,20230711,92.85,86.78,82.37,81.46,78.85,92.85,67.4,ADVANIHOTR,07/11/2023,92.85,86.78,82.37,81.46,78.85,92.85,67.4
ADVENZYMES,20230711,283.65,274.98,274.17,276.64,276.39,315.5,229.5,ADVENZYMES,07/11/2023,283.65,274.98,274.17,276.64,276.39,315.5,229.5
